determinand,cofactor,country,basis,BAC,ERL,ERM,EAC,EAC1,EQS.OSPAR,EQS.HELCOM,FEQG
AS,AL,,D,25,8.2,70,,,,,
CD,AL,,D,0.31,1.2,9.6,,,,2.3,
CR,AL,,D,81,81,370,,,,,
CU,AL,,D,27,34,270,,,,,
HG,AL,,D,0.07,0.15,0.71,,0.52,,,
NI,AL,,D,36,21,52,,,,,
PB,AL,,D,38,47,218,,123,,120,
ZN,AL,,D,122,150,410,,,,,
NAP,CORG,,D,8,160,2100,,,,,
PA,CORG,,D,32,240,1500,,,,,
ANT,CORG,,D,5,85,1100,,,,24,
DBT,CORG,,D,,190,,,,,,
FLU,CORG,,D,39,600,5100,,,,,
PYR,CORG,,D,24,665,2600,,,,,
BAA,CORG,,D,16,261,,,,,,
CHR,CORG,,D,20,384,2800,,,,,
CHRTR,CORG,,D,20,384,2800,,,,,
BAP,CORG,,D,30,430,1600,,91.5,,,
BGHIP,CORG,,D,80,,,,,,,
ICDP,CORG,,D,103,,,,,,,
CB28,CORG,,D,0.22,,,1.7,,,,
CB52,CORG,,D,0.12,,,2.7,,,,
CB101,CORG,,D,0.14,,,3,,,,
CB118,CORG,,D,0.17,,,0.6,,,,
CB138,CORG,,D,0.15,,,7.9,,,,
CB153,CORG,,D,0.19,,,40,,,,
CB180,CORG,,D,0.1,,,12,,,,
HCB,CORG,,D,0.16,,,,16.9,,,
DDEPP,CORG,,D,0.09,,,,,,,
DIELD,CORG,,D,0.19,,,,,,,
HCHA,CORG,,D,,,,,1.1,,,
HCHG,CORG,,D,0.13,,,,1.1,,,
BDE28,CORG,,D,0.05,,,,310,,,110
BDE47,CORG,,D,0.05,,,,310,,,97.5
BDE66,CORG,,D,0.05,,,,310,,,97.5
BDE85,CORG,,D,0.05,,,,310,,,1
BDE99,CORG,,D,0.05,,,,310,,,1
BD100,CORG,,D,0.05,,,,310,,,1
BD153,CORG,,D,0.05,,,,310,,,1100
BD154,CORG,,D,0.05,,,,310,,,1100
BD183,CORG,,D,0.05,,,,310,,,14000
BD209,CORG,,D,0.05,,,,310,,,47.5
SBDE6,CORG,,D,,,,,,,310,
HBCD,CORG,,D,,,,,,,170,
TBSN+,CORG,,D,,,,,0.01,0.8,1.6,
AS,NONE,Spain,D,,8.2,70,,,,,
CD,NONE,Spain,D,0.129,1.2,9.6,,,,,
CR,NONE,Spain,D,,81,370,,,,,
CU,NONE,Spain,D,,34,270,,,,,
HG,NONE,Spain,D,0.091,0.15,0.71,,,,,
NI,NONE,Spain,D,,21,52,,,,,
PB,NONE,Spain,D,22.4,47,218,,,,,
ZN,NONE,Spain,D,,150,410,,,,,
NAP,NONE,Spain,D,,160,2100,,,,,
PA,NONE,Spain,D,7.3,240,1500,,,,,
ANT,NONE,Spain,D,1.8,85,1100,,,,,
DBT,NONE,Spain,D,,190,,,,,,
FLU,NONE,Spain,D,14.4,600,5100,,,,,
PYR,NONE,Spain,D,11.3,665,2600,,,,,
BAA,NONE,Spain,D,7.1,261,,,,,,
CHR,NONE,Spain,D,8,384,2800,,,,,
CHRTR,NONE,Spain,D,8,384,2800,,,,,
BAP,NONE,Spain,D,8.2,430,1600,,,,,
BGHIP,NONE,Spain,D,6.9,,,,,,,
ICDP,NONE,Spain,D,8.3,,,,,,,
CB28,NONE,Spain,D,,,,1.7,,,,
CB52,NONE,Spain,D,,,,2.7,,,,
CB101,NONE,Spain,D,,,,3,,,,
CB118,NONE,Spain,D,,,,0.6,,,,
CB138,NONE,Spain,D,,,,7.9,,,,
CB153,NONE,Spain,D,,,,40,,,,
CB180,NONE,Spain,D,,,,12,,,,
HCB,NONE,Spain,D,,,,,16.9,,,
DDEPP,NONE,Spain,D,,,,,,,,
DIELD,NONE,Spain,D,,,,,,,,
HCHA,NONE,Spain,D,,,,,1.1,,,
HCHG,NONE,Spain,D,,,,,1.1,,,
BDE28,NONE,Spain,D,0.05,,,,310,,,110
BDE47,NONE,Spain,D,0.05,,,,310,,,97.5
BDE66,NONE,Spain,D,0.05,,,,310,,,97.5
BDE85,NONE,Spain,D,0.05,,,,310,,,1
BDE99,NONE,Spain,D,0.05,,,,310,,,1
BD100,NONE,Spain,D,0.05,,,,310,,,1
BD153,NONE,Spain,D,0.05,,,,310,,,1100
BD154,NONE,Spain,D,0.05,,,,310,,,1100
BD183,NONE,Spain,D,0.05,,,,310,,,14000
BD209,NONE,Spain,D,0.05,,,,310,,,47.5
TBSN+,NONE,Spain,D,,,,,0.01,0.8,1.6,
